airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-05-21,mumbai,hyderabad,09:10:00,10:40:00,90,0.0,no info,4049
Air India,2019-05-15,kolkata,banglore,16:45:00,21:05:00,1700,1.0,no info,7452
Jet Airways,2019-06-27,delhi,cochin,09:00:00,19:00:00,600,1.0,no info,14714
Air India,2019-05-03,banglore,delhi,10:00:00,12:45:00,165,0.0,no info,6121
Jet Airways,2019-03-18,banglore,new delhi,16:55:00,09:00:00,965,1.0,in-flight meal not included,11087
Indigo,2019-05-27,delhi,cochin,15:00:00,01:30:00,630,1.0,no info,6628
Air India,2019-03-09,delhi,cochin,04:00:00,07:40:00,1660,1.0,no info,10315
Jet Airways,2019-06-27,delhi,cochin,09:40:00,19:00:00,560,2.0,in-flight meal not included,10368
Jet Airways,2019-06-15,delhi,cochin,12:15:00,04:25:00,970,2.0,no info,14300
Multiple Carriers,2019-03-03,delhi,cochin,07:05:00,21:20:00,855,2.0,no info,8291
Jet Airways,2019-06-06,delhi,cochin,20:55:00,04:25:00,450,1.0,no info,14714
Indigo,2019-04-21,banglore,delhi,01:30:00,04:15:00,165,0.0,no info,4591
Vistara,2019-03-12,mumbai,hyderabad,19:45:00,19:55:00,1450,1.0,no info,12080
Indigo,2019-05-06,chennai,kolkata,13:15:00,15:35:00,140,0.0,no info,3597
Jet Airways,2019-03-21,delhi,cochin,19:10:00,04:25:00,1995,2.0,in-flight meal not included,8834
Air Asia,2019-06-24,delhi,cochin,20:45:00,06:35:00,590,1.0,no info,6152
Jet Airways,2019-06-06,delhi,cochin,07:05:00,04:25:00,1280,1.0,in-flight meal not included,10262
Air India,2019-03-09,delhi,cochin,20:00:00,19:15:00,1395,2.0,no info,16111
Jet Airways,2019-06-09,delhi,cochin,02:15:00,12:35:00,620,1.0,no info,18371
Indigo,2019-05-15,chennai,kolkata,05:15:00,07:40:00,145,0.0,no info,3540
Jet Airways,2019-03-21,delhi,cochin,05:30:00,18:50:00,800,2.0,no info,11702
Jet Airways,2019-05-01,mumbai,hyderabad,07:05:00,08:30:00,85,0.0,in-flight meal not included,4995
Jet Airways,2019-05-21,delhi,cochin,05:30:00,12:35:00,425,2.0,no info,16274
Jet Airways,2019-05-18,kolkata,banglore,20:00:00,19:50:00,1430,1.0,in-flight meal not included,10844
Jet Airways,2019-05-27,delhi,cochin,20:55:00,04:25:00,450,1.0,in-flight meal not included,12898
Indigo,2019-04-21,banglore,delhi,10:10:00,13:00:00,170,0.0,no info,4591
Jet Airways,2019-05-09,kolkata,banglore,16:30:00,04:40:00,730,1.0,no info,14781
Air India,2019-05-06,kolkata,banglore,16:50:00,15:05:00,1335,2.0,no info,12434
Indigo,2019-04-15,banglore,delhi,04:00:00,06:50:00,170,0.0,no info,4423
Jet Airways,2019-03-06,banglore,new delhi,11:40:00,18:25:00,405,1.0,no info,19225
Air India,2019-06-09,kolkata,banglore,17:30:00,20:25:00,1615,1.0,no info,10413
Indigo,2019-03-27,delhi,cochin,11:55:00,21:20:00,565,2.0,no info,6494
Jet Airways,2019-05-15,kolkata,banglore,14:05:00,23:35:00,570,1.0,in-flight meal not included,8586
Indigo,2019-06-27,mumbai,hyderabad,06:25:00,07:55:00,90,0.0,no info,4049
Jet Airways,2019-04-01,kolkata,banglore,09:35:00,18:00:00,505,1.0,in-flight meal not included,9314
Air India,2019-05-21,kolkata,banglore,09:25:00,05:35:00,1210,2.0,no info,11432
Indigo,2019-06-27,delhi,cochin,02:00:00,07:25:00,325,1.0,no info,5636
Multiple Carriers,2019-03-21,delhi,cochin,10:00:00,01:35:00,935,1.0,no info,8098
Spicejet,2019-03-24,banglore,new delhi,09:35:00,12:30:00,175,0.0,no check-in baggage included,4273
Jet Airways,2019-03-21,mumbai,hyderabad,19:35:00,21:05:00,90,0.0,no info,5678
Indigo,2019-05-27,banglore,delhi,10:10:00,13:00:00,170,0.0,no info,3943
Indigo,2019-03-27,delhi,cochin,17:30:00,01:35:00,485,1.0,no info,6628
Jet Airways,2019-05-01,kolkata,banglore,18:55:00,10:05:00,910,1.0,no info,13941
Indigo,2019-05-18,banglore,delhi,16:55:00,19:55:00,180,0.0,no info,4823
Spicejet,2019-05-18,kolkata,banglore,15:05:00,20:20:00,315,1.0,no info,4963
Spicejet,2019-06-15,kolkata,banglore,06:55:00,09:30:00,155,0.0,no check-in baggage included,3841
Air India,2019-05-15,kolkata,banglore,07:00:00,05:25:00,1345,2.0,no info,14424
Spicejet,2019-06-09,chennai,kolkata,08:20:00,10:35:00,135,0.0,no check-in baggage included,3543
Jet Airways,2019-03-06,banglore,new delhi,07:00:00,12:25:00,325,1.0,no info,22270
Indigo,2019-05-24,banglore,delhi,21:15:00,00:15:00,180,0.0,no info,3943
Air India,2019-03-09,banglore,new delhi,10:30:00,11:20:00,1490,1.0,no info,10321
Jet Airways,2019-06-12,kolkata,banglore,20:00:00,09:20:00,800,1.0,in-flight meal not included,8529
Spicejet,2019-03-06,delhi,cochin,06:10:00,11:20:00,310,1.0,no info,9748
Air India,2019-03-12,mumbai,hyderabad,16:50:00,12:25:00,1175,3.0,no info,14260
Indigo,2019-06-18,mumbai,hyderabad,19:05:00,20:35:00,90,0.0,no info,2754
Multiple Carriers,2019-06-06,delhi,cochin,09:15:00,19:00:00,585,1.0,no info,11622
Jet Airways,2019-05-03,banglore,delhi,11:10:00,14:05:00,175,0.0,no info,7229
Air India,2019-05-18,kolkata,banglore,08:20:00,18:30:00,610,2.0,no info,10907
Jet Airways,2019-06-06,kolkata,banglore,21:10:00,08:15:00,665,1.0,in-flight meal not included,10844
Jet Airways,2019-05-01,delhi,cochin,23:05:00,04:25:00,1760,2.0,no info,16704
Jet Airways,2019-05-24,kolkata,banglore,20:25:00,18:00:00,1295,1.0,no info,14151
Jet Airways,2019-05-18,delhi,cochin,13:25:00,12:35:00,1390,2.0,no info,15129
Indigo,2019-06-06,chennai,kolkata,07:55:00,10:15:00,140,0.0,no info,3850
Jet Airways,2019-06-12,delhi,cochin,11:30:00,19:00:00,450,1.0,no info,14714
Indigo,2019-06-03,delhi,cochin,16:00:00,01:30:00,570,1.0,no info,6628
Air India,2019-06-12,delhi,cochin,10:55:00,07:40:00,1245,2.0,no info,11753
Vistara,2019-05-21,kolkata,banglore,07:10:00,10:45:00,1655,1.0,no info,9187
Air India,2019-03-24,banglore,new delhi,21:10:00,23:55:00,165,0.0,no info,4441
Jet Airways,2019-05-09,delhi,cochin,19:15:00,04:25:00,550,1.0,in-flight meal not included,12373
Spicejet,2019-05-06,chennai,kolkata,08:20:00,10:35:00,135,0.0,no check-in baggage included,3859
Air India,2019-05-06,kolkata,banglore,12:00:00,11:10:00,1390,2.0,no info,10676
Air India,2019-04-12,banglore,delhi,06:10:00,08:55:00,165,0.0,no info,5911
Indigo,2019-03-06,delhi,cochin,11:30:00,21:00:00,570,1.0,no info,14871
Jet Airways,2019-05-27,delhi,cochin,09:40:00,04:25:00,1125,2.0,in-flight meal not included,13029
Indigo,2019-04-18,kolkata,banglore,20:20:00,22:55:00,155,0.0,no info,4174
Air India,2019-05-15,kolkata,banglore,10:00:00,13:45:00,1665,2.0,no info,16057
Jet Airways,2019-03-24,kolkata,banglore,16:55:00,18:10:00,1515,1.0,no info,14231
Air India,2019-05-18,kolkata,banglore,09:50:00,23:15:00,805,2.0,no info,15957
Goair,2019-03-09,banglore,new delhi,15:50:00,20:15:00,265,1.0,no info,7657
Air India,2019-06-27,delhi,cochin,12:00:00,07:40:00,1180,2.0,no info,9653
Multiple Carriers,2019-03-21,delhi,cochin,15:00:00,01:35:00,635,1.0,no info,13542
Air India,2019-05-18,kolkata,banglore,05:50:00,08:55:00,1625,2.0,no info,12723
Goair,2019-06-15,delhi,cochin,10:35:00,19:35:00,540,1.0,no info,4959
Vistara,2019-04-03,banglore,delhi,07:00:00,09:40:00,160,0.0,no info,5403
Jet Airways,2019-03-18,banglore,new delhi,11:40:00,09:00:00,1280,1.0,in-flight meal not included,11087
Air India,2019-05-27,delhi,cochin,14:25:00,19:15:00,1730,2.0,no info,13381
Jet Airways,2019-06-18,banglore,delhi,11:10:00,14:05:00,175,0.0,no info,8016
Jet Airways,2019-05-06,mumbai,hyderabad,10:20:00,11:50:00,90,0.0,no info,8040
Indigo,2019-03-21,banglore,new delhi,19:35:00,00:35:00,300,1.0,no info,6575
Indigo,2019-03-15,chennai,kolkata,22:05:00,00:30:00,145,0.0,no info,6297
Indigo,2019-04-27,delhi,cochin,05:35:00,08:50:00,195,0.0,no info,6015
Jet Airways,2019-06-01,delhi,cochin,11:00:00,14:15:00,195,0.0,in-flight meal not included,7202
Air India,2019-05-12,banglore,delhi,13:20:00,16:10:00,170,0.0,no info,6121
Spicejet,2019-03-06,kolkata,banglore,09:00:00,11:30:00,150,0.0,no info,4096
Multiple Carriers,2019-03-27,delhi,cochin,11:40:00,18:50:00,430,1.0,no info,11421
Jet Airways,2019-06-12,delhi,cochin,21:50:00,12:35:00,885,1.0,in-flight meal not included,10262
Jet Airways,2019-05-01,kolkata,banglore,17:00:00,14:25:00,1285,1.0,in-flight meal not included,9314
Jet Airways,2019-06-01,banglore,delhi,15:15:00,18:10:00,175,0.0,no info,8016
Indigo,2019-05-27,banglore,delhi,06:05:00,08:50:00,165,0.0,no info,4423
Jet Airways,2019-05-27,banglore,delhi,17:45:00,20:45:00,180,0.0,no info,7229
Indigo,2019-05-12,banglore,delhi,00:30:00,03:25:00,175,0.0,no info,3943
Jet Airways,2019-05-18,mumbai,hyderabad,19:35:00,21:05:00,90,0.0,in-flight meal not included,3210
Jet Airways,2019-05-12,kolkata,banglore,16:30:00,19:50:00,1640,1.0,in-flight meal not included,10844
Multiple Carriers,2019-04-09,delhi,cochin,12:50:00,19:15:00,385,1.0,no info,6481
Jet Airways,2019-05-24,kolkata,banglore,16:30:00,22:35:00,365,1.0,in-flight meal not included,10844
Spicejet,2019-06-15,kolkata,banglore,22:20:00,00:40:00,140,0.0,no info,3873
Air India,2019-04-01,delhi,cochin,09:45:00,09:25:00,1420,1.0,no info,5117
Jet Airways,2019-04-06,delhi,cochin,13:00:00,19:00:00,360,1.0,in-flight meal not included,5177
Indigo,2019-06-12,delhi,cochin,02:00:00,07:45:00,345,1.0,no info,6386
Jet Airways,2019-06-03,delhi,cochin,10:00:00,12:35:00,1595,1.0,in-flight meal not included,10262
Air Asia,2019-03-24,kolkata,banglore,07:35:00,19:25:00,710,1.0,no info,6785
Indigo,2019-03-03,delhi,cochin,07:30:00,13:20:00,350,1.0,no info,13628
Multiple Carriers,2019-03-03,delhi,cochin,11:30:00,01:35:00,845,1.0,no info,18286
Goair,2019-06-01,delhi,cochin,07:00:00,12:55:00,355,1.0,no info,5457
Multiple Carriers,2019-05-24,delhi,cochin,13:00:00,21:00:00,480,1.0,no info,14067
Air Asia,2019-04-27,kolkata,banglore,19:55:00,22:25:00,150,0.0,no info,4409
Indigo,2019-06-21,delhi,cochin,21:05:00,00:20:00,195,0.0,no info,5406
Multiple Carriers,2019-06-01,delhi,cochin,08:30:00,19:00:00,630,1.0,no info,11200
Spicejet,2019-05-18,mumbai,hyderabad,05:45:00,07:15:00,90,0.0,no check-in baggage included,1965
Multiple Carriers,2019-05-15,delhi,cochin,09:45:00,16:10:00,385,1.0,no info,9646
Indigo,2019-06-18,kolkata,banglore,14:25:00,16:55:00,150,0.0,no info,4804
Indigo,2019-03-18,delhi,cochin,21:05:00,00:20:00,195,0.0,no info,5021
Air Asia,2019-03-09,banglore,new delhi,05:50:00,08:40:00,170,0.0,no info,7652
Indigo,2019-06-27,delhi,cochin,07:30:00,21:00:00,810,1.0,no info,6093
Jet Airways,2019-03-21,delhi,cochin,16:00:00,18:50:00,1610,1.0,in-flight meal not included,5963
Spicejet,2019-05-12,kolkata,banglore,15:55:00,21:25:00,330,1.0,no info,8844
Jet Airways,2019-06-12,kolkata,banglore,18:55:00,23:35:00,1720,1.0,in-flight meal not included,8529
Indigo,2019-05-27,banglore,delhi,01:30:00,04:15:00,165,0.0,no info,3419
Spicejet,2019-03-21,banglore,new delhi,10:20:00,18:15:00,475,1.0,no info,7139
Jet Airways,2019-04-01,kolkata,banglore,06:30:00,20:45:00,855,1.0,no info,12681
Air India,2019-05-15,kolkata,banglore,19:00:00,04:40:00,580,1.0,no info,6117
Air India,2019-05-18,delhi,cochin,17:15:00,19:15:00,1560,2.0,no info,12392
Jet Airways,2019-06-09,kolkata,banglore,21:10:00,10:05:00,775,1.0,in-flight meal not included,11841
Spicejet,2019-04-27,delhi,cochin,17:55:00,22:50:00,295,1.0,no info,4957
Multiple Carriers,2019-05-15,delhi,cochin,03:50:00,19:00:00,910,1.0,no info,10197
Multiple Carriers,2019-03-09,delhi,cochin,06:00:00,19:45:00,825,1.0,no info,13941
Jet Airways,2019-05-06,kolkata,banglore,17:00:00,15:05:00,1325,1.0,no info,13067
Jet Airways,2019-06-03,mumbai,hyderabad,10:20:00,11:50:00,90,0.0,in-flight meal not included,4995
Jet Airways,2019-06-01,delhi,cochin,11:30:00,04:25:00,1015,1.0,in-flight meal not included,10262
Multiple Carriers,2019-06-27,delhi,cochin,09:15:00,19:15:00,600,1.0,no info,8099
Indigo,2019-03-03,delhi,cochin,07:20:00,12:30:00,310,1.0,no info,12214
Jet Airways,2019-05-01,kolkata,banglore,16:30:00,22:35:00,365,1.0,in-flight meal not included,10844
Jet Airways,2019-03-06,delhi,cochin,05:25:00,04:25:00,1380,2.0,in-flight meal not included,16389
Jet Airways,2019-05-09,kolkata,banglore,14:05:00,19:50:00,345,1.0,in-flight meal not included,10844
Multiple Carriers,2019-06-01,delhi,cochin,03:50:00,19:00:00,910,1.0,no info,12192
Indigo,2019-05-18,delhi,cochin,15:00:00,01:30:00,630,1.0,no info,7503
Air India,2019-03-01,banglore,new delhi,06:45:00,11:10:00,1705,2.0,no info,20999
Jet Airways,2019-06-24,delhi,cochin,13:00:00,19:00:00,360,1.0,in-flight meal not included,10262
Jet Airways,2019-04-06,banglore,delhi,11:10:00,14:05:00,175,0.0,no info,7229
Multiple Carriers,2019-05-27,delhi,cochin,10:20:00,19:00:00,520,1.0,no info,9794
Jet Airways,2019-05-27,mumbai,hyderabad,02:55:00,04:20:00,85,0.0,in-flight meal not included,4050
Multiple Carriers,2019-06-09,delhi,cochin,07:10:00,16:10:00,540,1.0,no info,6513
Jet Airways,2019-06-12,delhi,cochin,22:50:00,12:35:00,825,1.0,in-flight meal not included,10262
Jet Airways,2019-05-15,kolkata,banglore,20:25:00,09:45:00,800,1.0,no info,13067
Indigo,2019-05-18,kolkata,banglore,09:20:00,14:15:00,295,1.0,no info,12198
Air India,2019-03-27,delhi,cochin,17:40:00,08:15:00,875,1.0,no info,5998
Indigo,2019-04-01,kolkata,banglore,04:40:00,07:15:00,155,0.0,no info,4174
Jet Airways,2019-04-01,banglore,delhi,07:10:00,10:10:00,180,0.0,no info,7229
Spicejet,2019-06-18,banglore,delhi,05:55:00,08:35:00,160,0.0,no check-in baggage included,3573
Multiple Carriers,2019-05-15,delhi,cochin,10:00:00,01:30:00,930,1.0,no info,8073
Jet Airways,2019-05-15,kolkata,banglore,21:10:00,10:05:00,775,1.0,in-flight meal not included,11841
Air India,2019-04-01,kolkata,banglore,10:00:00,05:25:00,1165,2.0,no info,12639
Air India,2019-04-06,delhi,cochin,06:05:00,09:25:00,1640,1.0,no info,4487
Indigo,2019-06-09,delhi,cochin,02:00:00,07:25:00,325,1.0,no info,5636
Indigo,2019-04-09,banglore,delhi,20:00:00,22:50:00,170,0.0,no info,4823
Spicejet,2019-05-18,banglore,delhi,09:30:00,12:20:00,170,0.0,no info,4423
Air India,2019-03-09,delhi,cochin,21:30:00,19:15:00,1305,2.0,no info,11762
Indigo,2019-03-27,delhi,cochin,16:00:00,21:00:00,300,1.0,no info,5073
Jet Airways,2019-06-06,delhi,cochin,02:15:00,12:35:00,620,1.0,in-flight meal not included,10262
Spicejet,2019-06-15,mumbai,hyderabad,13:15:00,14:45:00,90,0.0,no check-in baggage included,1965
Vistara,2019-03-24,banglore,new delhi,19:40:00,22:20:00,160,0.0,no info,4563
Spicejet,2019-05-27,mumbai,hyderabad,13:15:00,14:45:00,90,0.0,no check-in baggage included,2385
Indigo,2019-05-18,delhi,cochin,15:10:00,20:00:00,290,1.0,no info,6496
Air India,2019-06-24,delhi,cochin,13:00:00,19:15:00,375,1.0,no info,8372
Jet Airways,2019-03-03,delhi,cochin,21:50:00,18:50:00,1260,1.0,no info,17024
Jet Airways,2019-05-09,delhi,cochin,15:00:00,19:00:00,1680,1.0,in-flight meal not included,12373
Air India,2019-06-21,delhi,cochin,18:05:00,21:10:00,185,0.0,no info,5411
Jet Airways,2019-05-06,kolkata,banglore,06:30:00,16:20:00,590,1.0,in-flight meal not included,10844
Jet Airways,2019-05-24,kolkata,banglore,18:55:00,20:45:00,1550,1.0,in-flight meal not included,10844
Jet Airways,2019-06-01,delhi,cochin,11:40:00,19:00:00,440,2.0,no info,18804
Multiple Carriers,2019-06-06,delhi,cochin,12:50:00,01:30:00,760,1.0,no info,6795
Indigo,2019-04-01,kolkata,banglore,15:10:00,20:30:00,320,1.0,no info,8567
Indigo,2019-05-18,kolkata,banglore,20:20:00,22:55:00,155,0.0,no info,4804
Vistara,2019-05-06,kolkata,banglore,07:10:00,20:20:00,790,1.0,no info,8610
Indigo,2019-03-15,mumbai,hyderabad,19:05:00,20:30:00,85,0.0,no info,2754
Jet Airways,2019-05-15,kolkata,banglore,09:35:00,14:25:00,1730,1.0,in-flight meal not included,9314
Jet Airways,2019-06-03,banglore,delhi,17:45:00,20:45:00,180,0.0,no info,8016
Air India,2019-03-06,delhi,cochin,05:55:00,19:15:00,800,2.0,no info,13748
Jet Airways,2019-03-27,delhi,cochin,20:50:00,19:45:00,1375,1.0,no info,12032
Air India,2019-03-27,mumbai,hyderabad,19:30:00,20:45:00,75,0.0,no info,2575
Air India,2019-03-09,delhi,cochin,16:40:00,19:15:00,1595,2.0,no info,11911
Air Asia,2019-05-03,banglore,delhi,23:55:00,02:45:00,170,0.0,no info,4483
Jet Airways,2019-05-18,delhi,cochin,07:05:00,12:35:00,330,1.0,in-flight meal not included,12373
Multiple Carriers,2019-06-12,delhi,cochin,18:15:00,01:30:00,435,1.0,no info,13377
Air India,2019-05-06,kolkata,banglore,16:45:00,08:55:00,970,2.0,no info,13227
Air India,2019-05-21,kolkata,banglore,10:00:00,01:20:00,920,2.0,no info,13033
Indigo,2019-04-03,banglore,delhi,18:55:00,21:50:00,175,0.0,no info,4823
Air India,2019-06-01,delhi,cochin,20:40:00,09:25:00,765,1.0,no info,7480
Jet Airways,2019-04-01,kolkata,banglore,14:05:00,19:50:00,345,1.0,no info,13364
Air Asia,2019-06-01,banglore,delhi,23:55:00,02:45:00,170,0.0,no info,7120
Indigo,2019-05-12,chennai,kolkata,19:35:00,21:55:00,140,0.0,no info,3597
Air India,2019-06-21,chennai,kolkata,11:40:00,13:55:00,135,0.0,no info,4667
Indigo,2019-06-21,delhi,cochin,05:35:00,08:50:00,195,0.0,no info,5000
Air India,2019-06-15,delhi,cochin,12:30:00,09:25:00,1255,1.0,no info,7480
Jet Airways,2019-04-27,banglore,delhi,11:10:00,14:05:00,175,0.0,no info,7229
Jet Airways,2019-05-09,delhi,cochin,19:30:00,12:35:00,1025,2.0,in-flight meal not included,13029
Jet Airways,2019-05-12,kolkata,banglore,16:30:00,09:20:00,1010,1.0,no info,14388
Multiple Carriers,2019-03-27,delhi,cochin,06:00:00,15:30:00,570,1.0,no info,7845
Jet Airways,2019-03-24,kolkata,banglore,06:30:00,23:25:00,1015,1.0,no info,13339
Jet Airways,2019-03-12,banglore,new delhi,08:55:00,10:25:00,1530,1.0,in-flight meal not included,11087
Jet Airways,2019-06-03,delhi,cochin,21:25:00,12:35:00,910,2.0,in-flight meal not included,11507
Jet Airways,2019-05-01,kolkata,banglore,17:00:00,10:55:00,1075,1.0,no info,12121
